"MCLX01000029.1 Pseudomonas aeruginosa 39016 IPC1264_29.1, whole genome shotgun sequence"
"RWLD01000028.1 Pseudomonas aeruginosa strain 17 IPC1600_28.1, whole genome shotgun sequence"
"RWLH01000024.1 Pseudomonas aeruginosa strain 14.1 IPC1596_24.1, whole genome shotgun sequence"
"RWLE01000018.1 Pseudomonas aeruginosa strain 16 IPC1599_18.1, whole genome shotgun sequence"
"RWLG01000024.1 Pseudomonas aeruginosa strain 14.2 IPC1597_24.1, whole genome shotgun sequence"
"RWLK01000019.1 Pseudomonas aeruginosa strain 11 IPC1593_19.1, whole genome shotgun sequence"
"RWLL01000021.1 Pseudomonas aeruginosa strain 10 IPC1592_21.1, whole genome shotgun sequence"
"RWLJ01000027.1 Pseudomonas aeruginosa strain 12 IPC1594_27.1, whole genome shotgun sequence"
"RWLM01000041.1 Pseudomonas aeruginosa strain 9 IPC1591_41.1, whole genome shotgun sequence"
"RWLQ01000018.1 Pseudomonas aeruginosa strain 5 IPC1587_18.1, whole genome shotgun sequence"
"RWLP01000030.1 Pseudomonas aeruginosa strain 6 IPC1588_30.1, whole genome shotgun sequence"
"RWLS01000020.1 Pseudomonas aeruginosa strain 3 IPC1585_20.1, whole genome shotgun sequence"
"RWLR01000018.1 Pseudomonas aeruginosa strain 4 IPC1586_18.1, whole genome shotgun sequence"
"RWLO01000031.1 Pseudomonas aeruginosa strain 7 IPC1589_31.1, whole genome shotgun sequence"
"RWLT01000023.1 Pseudomonas aeruginosa strain 2.1 IPC1584_23.1, whole genome shotgun sequence"
"RWLV01000031.1 Pseudomonas aeruginosa strain 3052425557 IPC1523_31.1, whole genome shotgun sequence"
"RWLU01000025.1 Pseudomonas aeruginosa strain 1 IPC1583_25.1, whole genome shotgun sequence"
"RWLW01000009.1 Pseudomonas aeruginosa strain 4084336477 IPC1522_9.1, whole genome shotgun sequence"
"RWLZ01000016.1 Pseudomonas aeruginosa strain 4084334344 IPC1519_16.1, whole genome shotgun sequence"
"RWLX01000014.1 Pseudomonas aeruginosa strain 5014375233 IPC1521_14.1, whole genome shotgun sequence"
"RWMB01000019.1 Pseudomonas aeruginosa strain 3020837212 IPC1517_19.1, whole genome shotgun sequence"
"RWMC01000023.1 Pseudomonas aeruginosa strain 5024383182 IPC1516_23.1, whole genome shotgun sequence"
"RWMD01000016.1 Pseudomonas aeruginosa strain 5014375428 IPC1515_16.1, whole genome shotgun sequence"
"RWMF01000015.1 Pseudomonas aeruginosa strain 5024382738-25 IPC1513_15.1, whole genome shotgun sequence"
"RWME01000015.1 Pseudomonas aeruginosa strain 5023272159 IPC1514_15.1, whole genome shotgun sequence"
"RWMH01000016.1 Pseudomonas aeruginosa strain 4104355340-13 IPC1511_16.1, whole genome shotgun sequence"
"RWMK01000024.1 Pseudomonas aeruginosa strain 5054408352 IPC1508_24.1, whole genome shotgun sequence"
"RWML01000039.1 Pseudomonas aeruginosa strain 4114358565 IPC1507_39.1, whole genome shotgun sequence"
"RWMI01000027.1 Pseudomonas aeruginosa strain 4104355340-15 IPC1510_27.1, whole genome shotgun sequence"
"RWMM01000064.1 Pseudomonas aeruginosa strain 5024382749-14 IPC1506_64.1, whole genome shotgun sequence"
"RWMJ01000023.1 Pseudomonas aeruginosa strain 110238627 IPC1509_23.1, whole genome shotgun sequence"
"RWMN01000009.1 Pseudomonas aeruginosa strain 5024382749-13 IPC1505_9.1, whole genome shotgun sequence"
"RWMO01000010.1 Pseudomonas aeruginosa strain 2042723558 IPC1504_10.1, whole genome shotgun sequence"
"RWMR01000015.1 Pseudomonas aeruginosa strain 4124363474-14 IPC1501_15.1, whole genome shotgun sequence"
"RWMP01000003.1 Pseudomonas aeruginosa strain 1042828174-21 IPC1503_3.1, whole genome shotgun sequence"
"RWMS01000016.1 Pseudomonas aeruginosa strain 4124363474-15 IPC1500_16.1, whole genome shotgun sequence"
"RWMQ01000003.1 Pseudomonas aeruginosa strain 1042828174-20 IPC1502_3.1, whole genome shotgun sequence"
"RWMU01000016.1 Pseudomonas aeruginosa strain 2032935751 IPC1498_16.1, whole genome shotgun sequence"
"RWMT01000004.1 Pseudomonas aeruginosa strain 9092533235 IPC1499_4.1, whole genome shotgun sequence"
"RWMV01000027.1 Pseudomonas aeruginosa strain 4044301968 IPC1496_27.1, whole genome shotgun sequence"
"RWMY01000029.1 Pseudomonas aeruginosa strain 3052425557 IPC1492_29.1, whole genome shotgun sequence"
"RWMZ01000022.1 Pseudomonas aeruginosa strain 5034388513 IPC1491_22.1, whole genome shotgun sequence"
"RWNA01000005.1 Pseudomonas aeruginosa strain 5054408350-22 IPC1490_5.1, whole genome shotgun sequence"
"RWNE01000016.1 Pseudomonas aeruginosa strain 5034388498-21 IPC1486_16.1, whole genome shotgun sequence"
"RWNB01000001.1 Pseudomonas aeruginosa strain 5054408350-20 IPC1489_1.1, whole genome shotgun sequence"
"RWNC01000001.1 Pseudomonas aeruginosa strain 5054408350-18 IPC1488_1.1, whole genome shotgun sequence"
"RWNF01000016.1 Pseudomonas aeruginosa strain 5034388498-20 IPC1485_16.1, whole genome shotgun sequence"
"RWND01000020.1 Pseudomonas aeruginosa strain 4064320487 IPC1487_20.1, whole genome shotgun sequence"
"RWNJ01000022.1 Pseudomonas aeruginosa strain 41004355322 IPC1478_22.1, whole genome shotgun sequence"
"RWNI01000023.1 Pseudomonas aeruginosa strain 5024379144-14 IPC1479_23.1, whole genome shotgun sequence"
"RWNG01000005.1 Pseudomonas aeruginosa strain 4094345258 IPC1481_5.1, whole genome shotgun sequence"
"RWNH01000051.1 Pseudomonas aeruginosa strain 5024379144-15 IPC1480_51.1, whole genome shotgun sequence"
"RWNK01000014.1 Pseudomonas aeruginosa strain 5054407658-17 IPC1477_14.1, whole genome shotgun sequence"
"RWNL01000018.1 Pseudomonas aeruginosa strain 5054407658-16 IPC1476_18.1, whole genome shotgun sequence"
"RWNN01000039.1 Pseudomonas aeruginosa strain 6102 IPC1349_39.1, whole genome shotgun sequence"
"RWNP01000031.1 Pseudomonas aeruginosa strain 6098 IPC1347_31.1, whole genome shotgun sequence"
"RWNO01000037.1 Pseudomonas aeruginosa strain 6099 IPC1348_37.1, whole genome shotgun sequence"
"RWNM01000005.1 Pseudomonas aeruginosa strain 4124363505 IPC1474_5.1, whole genome shotgun sequence"
"RWNQ01000027.1 Pseudomonas aeruginosa strain 6097.3 IPC1346_27.1, whole genome shotgun sequence"
"RWNR01000028.1 Pseudomonas aeruginosa strain 6097.1 IPC1345_28.1, whole genome shotgun sequence"
"RWNS01000043.1 Pseudomonas aeruginosa strain 6096 IPC1343_43.1, whole genome shotgun sequence"
"RWNV01000021.1 Pseudomonas aeruginosa strain 6092.3 IPC1340_21.1, whole genome shotgun sequence"
"RWNT01000030.1 Pseudomonas aeruginosa strain 6095 IPC1342_30.1, whole genome shotgun sequence"
"RWNU01000027.1 Pseudomonas aeruginosa strain 6093 IPC1341_27.1, whole genome shotgun sequence"
"RWNX01000024.1 Pseudomonas aeruginosa strain 6091 IPC1338_24.1, whole genome shotgun sequence"
"RWNW01000020.1 Pseudomonas aeruginosa strain 6092.2 IPC1339_20.1, whole genome shotgun sequence"
"RWNY01000028.1 Pseudomonas aeruginosa strain 6090 IPC1337_28.1, whole genome shotgun sequence"
"RWNZ01000028.1 Pseudomonas aeruginosa strain 6089 IPC1336_28.1, whole genome shotgun sequence"
"RWOC01000019.1 Pseudomonas aeruginosa strain 6086.2 IPC1333_19.1, whole genome shotgun sequence"
"RWOB01000020.1 Pseudomonas aeruginosa strain 6087 IPC1334_20.1, whole genome shotgun sequence"
"RWOF01000021.1 Pseudomonas aeruginosa strain 6004 IPC1330_21.1, whole genome shotgun sequence"
"RWOG01000024.1 Pseudomonas aeruginosa strain 6003 IPC1329_24.1, whole genome shotgun sequence"
"RWOJ01000030.1 Pseudomonas aeruginosa strain 6000.2 IPC1326_30.1, whole genome shotgun sequence"
"RWOI01000028.1 Pseudomonas aeruginosa strain 6000.3 IPC1327_28.1, whole genome shotgun sequence"
"RWOE01000032.1 Pseudomonas aeruginosa strain 6085 IPC1331_32.1, whole genome shotgun sequence"
"RWOH01000020.1 Pseudomonas aeruginosa strain 6001 IPC1328_20.1, whole genome shotgun sequence"
"RWOK01000028.1 Pseudomonas aeruginosa strain 6000.1 IPC1325_28.1, whole genome shotgun sequence"
"RWOM01000037.1 Pseudomonas aeruginosa strain 5999.2 IPC1323_37.1, whole genome shotgun sequence"
"RWOP01000058.1 Pseudomonas aeruginosa strain 5997 IPC1320_58.1, whole genome shotgun sequence"
"RWOL01000036.1 Pseudomonas aeruginosa strain 5999.3 IPC1324_36.1, whole genome shotgun sequence"
"RWON01000036.1 Pseudomonas aeruginosa strain 5999.1 IPC1322_36.1, whole genome shotgun sequence"
"RWOQ01000024.1 Pseudomonas aeruginosa strain 5996 IPC1319_24.1, whole genome shotgun sequence"
"RWOR01000040.1 Pseudomonas aeruginosa strain 5995 IPC1318_40.1, whole genome shotgun sequence"
"RWOT01000030.1 Pseudomonas aeruginosa strain 5993 IPC1316_30.1, whole genome shotgun sequence"
"RWOO01000015.1 Pseudomonas aeruginosa strain 5998 IPC1321_15.1, whole genome shotgun sequence"
"RWOU01000014.1 Pseudomonas aeruginosa strain 5992 IPC1315_14.1, whole genome shotgun sequence"
"RWOS01000017.1 Pseudomonas aeruginosa strain 5994 IPC1317_17.1, whole genome shotgun sequence"
"RWOW01000021.1 Pseudomonas aeruginosa strain 5990.3 IPC1313_21.1, whole genome shotgun sequence"
"RWOX01000026.1 Pseudomonas aeruginosa strain 5990.2 IPC1312_26.1, whole genome shotgun sequence"
"RWOV01000034.1 Pseudomonas aeruginosa strain 5991 IPC1314_34.1, whole genome shotgun sequence"
"RWOY01000026.1 Pseudomonas aeruginosa strain 5990.1 IPC1311_26.1, whole genome shotgun sequence"
"RWOZ01000029.1 Pseudomonas aeruginosa strain 5989 IPC1310_29.1, whole genome shotgun sequence"
"RWPD01000020.1 Pseudomonas aeruginosa strain 5985 IPC1306_20.1, whole genome shotgun sequence"
"RWPE01000019.1 Pseudomonas aeruginosa strain PA-CL549 IPC634_19.1, whole genome shotgun sequence"
"RWPG01000019.1 Pseudomonas aeruginosa strain PA-CL545b IPC632_19.1, whole genome shotgun sequence"
"RWPH01000017.1 Pseudomonas aeruginosa strain PA-CL542b IPC630_17.1, whole genome shotgun sequence"
"RWPK01000018.1 Pseudomonas aeruginosa strain PA-CL534a IPC625_18.1, whole genome shotgun sequence"
"RWPF01000001.1 Pseudomonas aeruginosa strain PA-CL547b IPC633_1.1, whole genome shotgun sequence"
"RWPI01000011.1 Pseudomonas aeruginosa strain PA-CL542a IPC629_11.1, whole genome shotgun sequence"
"RWPM01000009.1 Pseudomonas aeruginosa strain PA-CL529 IPC623_9.1, whole genome shotgun sequence"
"RWPN01000012.1 Pseudomonas aeruginosa strain PA-CL528 IPC622_12.1, whole genome shotgun sequence"
"RWPL01000003.1 Pseudomonas aeruginosa strain PA-CL532 IPC624_3.1, whole genome shotgun sequence"
"RWPO01000025.1 Pseudomonas aeruginosa strain PA-CL527 IPC621_25.1, whole genome shotgun sequence"
"RWPU01000010.1 Pseudomonas aeruginosa strain PA-CL519 IPC613_10.1, whole genome shotgun sequence"
"RWPP01000004.1 Pseudomonas aeruginosa strain PA-CL524 IPC620_4.1, whole genome shotgun sequence"
"RWPR01000002.1 Pseudomonas aeruginosa strain PA-CL521b IPC616_2.1, whole genome shotgun sequence"
"RWPS01000030.1 Pseudomonas aeruginosa strain PA-CL521a IPC615_30.1, whole genome shotgun sequence"
"RWPV01000014.1 Pseudomonas aeruginosa strain PA-CL518 IPC612_14.1, whole genome shotgun sequence"
"RWPQ01000003.1 Pseudomonas aeruginosa strain PA-CL522b IPC618_3.1, whole genome shotgun sequence"
"RWPX01000024.1 Pseudomonas aeruginosa strain PA-CL516 IPC610_24.1, whole genome shotgun sequence"
"RWPW01000013.1 Pseudomonas aeruginosa strain PA-CL517 IPC611_13.1, whole genome shotgun sequence"
"RWPT01000013.1 Pseudomonas aeruginosa strain PA-CL520 IPC614_13.1, whole genome shotgun sequence"
"RWPZ01000022.1 Pseudomonas aeruginosa strain PA-CL514 IPC608_22.1, whole genome shotgun sequence"
"RWPY01000017.1 Pseudomonas aeruginosa strain PA-CL515 IPC609_17.1, whole genome shotgun sequence"
"RWQD01000013.1 Pseudomonas aeruginosa strain PA-CL510 IPC604_13.1, whole genome shotgun sequence"
"RWQC01000002.1 Pseudomonas aeruginosa strain PA-CL511 IPC605_2.1, whole genome shotgun sequence"
"RWQE01000012.1 Pseudomonas aeruginosa strain PA-CL509 IPC603_12.1, whole genome shotgun sequence"
"RWQB01000005.1 Pseudomonas aeruginosa strain PA-CL512 IPC606_5.1, whole genome shotgun sequence"
"RWQG01000020.1 Pseudomonas aeruginosa strain PA-CL507 IPC601_20.1, whole genome shotgun sequence"
"RWQF01000001.1 Pseudomonas aeruginosa strain PA-CL508 IPC602_1.1, whole genome shotgun sequence"
"RWQJ01000006.1 Pseudomonas aeruginosa strain PA-CL504 IPC598_6.1, whole genome shotgun sequence"
"RWQH01000023.1 Pseudomonas aeruginosa strain PA-CL506b IPC600_23.1, whole genome shotgun sequence"
"RWQL01000011.1 Pseudomonas aeruginosa strain PA-CL501 IPC596_11.1, whole genome shotgun sequence"
"RWQI01000001.1 Pseudomonas aeruginosa strain PA-CL505 IPC599_1.1, whole genome shotgun sequence"
"RWQP01000022.1 Pseudomonas aeruginosa strain 34JS IPC582_22.1, whole genome shotgun sequence"
"RWQM01000010.1 Pseudomonas aeruginosa strain 78RV IPC589_10.1, whole genome shotgun sequence"
"RWQK01000021.1 Pseudomonas aeruginosa strain PA-CL502 IPC597_21.1, whole genome shotgun sequence"
"RWQS01000022.1 Pseudomonas aeruginosa strain 19SV IPC578_22.1, whole genome shotgun sequence"
"RWQO01000001.1 Pseudomonas aeruginosa strain 57SJ IPC584_1.1, whole genome shotgun sequence"
"RWQQ01000021.1 Pseudomonas aeruginosa strain 32SB IPC580_21.1, whole genome shotgun sequence"
"RWQN01000009.1 Pseudomonas aeruginosa strain 57RV IPC586_9.1, whole genome shotgun sequence"
"RWQR01000025.1 Pseudomonas aeruginosa strain 32SP IPC579_25.1, whole genome shotgun sequence"
"RWQT01000016.1 Pseudomonas aeruginosa strain 19R IPC577_16.1, whole genome shotgun sequence"
"RWQV01000018.1 Pseudomonas aeruginosa strain 18G IPC574_18.1, whole genome shotgun sequence"
"RWQW01000019.1 Pseudomonas aeruginosa strain PAC97A IPC184_19.1, whole genome shotgun sequence"
"RWQU01000018.1 Pseudomonas aeruginosa strain 19SJV IPC576_18.1, whole genome shotgun sequence"
"RWQZ01000026.1 Pseudomonas aeruginosa strain PAC91A IPC181_26.1, whole genome shotgun sequence"
"RWQX01000022.1 Pseudomonas aeruginosa strain PAC95B IPC183_22.1, whole genome shotgun sequence"
"RWRD01000046.1 Pseudomonas aeruginosa strain PAC76A IPC177_46.1, whole genome shotgun sequence"
"RWQY01000023.1 Pseudomonas aeruginosa strain PAC95A IPC182_23.1, whole genome shotgun sequence"
"RWRA01000027.1 Pseudomonas aeruginosa strain PAC81B IPC180_27.1, whole genome shotgun sequence"
"RWRB01000033.1 Pseudomonas aeruginosa strain PAC81A IPC179_33.1, whole genome shotgun sequence"
"RWRC01000025.1 Pseudomonas aeruginosa strain PAC112A IPC178_25.1, whole genome shotgun sequence"
"RWRE01000025.1 Pseudomonas aeruginosa strain PAC60A IPC176_25.1, whole genome shotgun sequence"
"RWRF01000025.1 Pseudomonas aeruginosa strain PAC127B IPC175_25.1, whole genome shotgun sequence"
"RWRH01000022.1 Pseudomonas aeruginosa strain PAC38B IPC173_22.1, whole genome shotgun sequence"
"RWRG01000014.1 Pseudomonas aeruginosa strain PAC127A IPC174_14.1, whole genome shotgun sequence"
"RWRJ01000020.1 Pseudomonas aeruginosa strain PAC98D IPC171_20.1, whole genome shotgun sequence"
"RWRI01000020.1 Pseudomonas aeruginosa strain PAC38A IPC172_20.1, whole genome shotgun sequence"
"RWRM01000016.1 Pseudomonas aeruginosa strain PAC98A IPC168_16.1, whole genome shotgun sequence"
"RWRK01000021.1 Pseudomonas aeruginosa strain PAC98C IPC170_21.1, whole genome shotgun sequence"
"RWRL01000020.1 Pseudomonas aeruginosa strain PAC98B IPC169_20.1, whole genome shotgun sequence"
"RWRN01000021.1 Pseudomonas aeruginosa strain PAC80A IPC167_21.1, whole genome shotgun sequence"
"RWRO01000020.1 Pseudomonas aeruginosa strain PAC70B IPC166_20.1, whole genome shotgun sequence"
"RWRR01000018.1 Pseudomonas aeruginosa strain PAC31B IPC163_18.1, whole genome shotgun sequence"
"RWRT01000029.1 Pseudomonas aeruginosa strain PAC118A IPC161_29.1, whole genome shotgun sequence"
"RWRP01000015.1 Pseudomonas aeruginosa strain PAC70A IPC165_15.1, whole genome shotgun sequence"
"RWRQ01000020.1 Pseudomonas aeruginosa strain PAC42A IPC164_20.1, whole genome shotgun sequence"
"RWRU01000023.1 Pseudomonas aeruginosa strain PAC115A IPC159_23.1, whole genome shotgun sequence"
"RWRV01000022.1 Pseudomonas aeruginosa strain PAC108A IPC158_22.1, whole genome shotgun sequence"
"RWRW01000024.1 Pseudomonas aeruginosa strain PAC44D IPC157_24.1, whole genome shotgun sequence"
"RWSA01000022.1 Pseudomonas aeruginosa strain PAC23A IPC153_22.1, whole genome shotgun sequence"
"RWRX01000025.1 Pseudomonas aeruginosa strain PAC44C IPC156_25.1, whole genome shotgun sequence"
"RWSC01000020.1 Pseudomonas aeruginosa strain PAC84A IPC151_20.1, whole genome shotgun sequence"
"RWSF01000019.1 Pseudomonas aeruginosa strain PAC78A IPC148_19.1, whole genome shotgun sequence"
"RWSD01000023.1 Pseudomonas aeruginosa strain PAC22A IPC150_23.1, whole genome shotgun sequence"
"RWSG01000024.1 Pseudomonas aeruginosa strain PAC33B IPC147_24.1, whole genome shotgun sequence"
"RWSK01000027.1 Pseudomonas aeruginosa strain PAC56B IPC143_27.1, whole genome shotgun sequence"
"RWSE01000025.1 Pseudomonas aeruginosa strain PAC78B IPC149_25.1, whole genome shotgun sequence"
"RWSH01000022.1 Pseudomonas aeruginosa strain PAC33A IPC146_22.1, whole genome shotgun sequence"
"RWSJ01000018.1 Pseudomonas aeruginosa strain PAC18A IPC144_18.1, whole genome shotgun sequence"
"RWSI01000026.1 Pseudomonas aeruginosa strain PAC18B IPC145_26.1, whole genome shotgun sequence"
"RWSL01000025.1 Pseudomonas aeruginosa strain PAC56A IPC142_25.1, whole genome shotgun sequence"
"RWSM01000028.1 Pseudomonas aeruginosa strain PAC17A IPC141_28.1, whole genome shotgun sequence"
"RWSP01000022.1 Pseudomonas aeruginosa strain PAC14B IPC137_22.1, whole genome shotgun sequence"
"RWSQ01000029.1 Pseudomonas aeruginosa strain PAC117B IPC135_29.1, whole genome shotgun sequence"
"RWSS01000030.1 Pseudomonas aeruginosa strain PAC13C IPC133_30.1, whole genome shotgun sequence"
"RWST01000028.1 Pseudomonas aeruginosa strain PAC13B IPC132_28.1, whole genome shotgun sequence"
"RWSR01000033.1 Pseudomonas aeruginosa strain PAC117A IPC134_33.1, whole genome shotgun sequence"
"RWSU01000033.1 Pseudomonas aeruginosa strain PAC13A IPC131_33.1, whole genome shotgun sequence"
"RWSW01000024.1 Pseudomonas aeruginosa strain PAC79B IPC129_24.1, whole genome shotgun sequence"
"RWSX01000017.1 Pseudomonas aeruginosa strain PAC79A IPC128_17.1, whole genome shotgun sequence"
"RWSV01000017.1 Pseudomonas aeruginosa strain PAC106A IPC130_17.1, whole genome shotgun sequence"
"RWSZ01000020.1 Pseudomonas aeruginosa strain PAC107A IPC126_20.1, whole genome shotgun sequence"
"RWSY01000020.1 Pseudomonas aeruginosa strain PAC11A IPC127_20.1, whole genome shotgun sequence"
"RWTB01000022.1 Pseudomonas aeruginosa strain PAC10A IPC124_22.1, whole genome shotgun sequence"
"RWTA01000020.1 Pseudomonas aeruginosa strain PAC10B IPC125_20.1, whole genome shotgun sequence"
"RWTD01000028.1 Pseudomonas aeruginosa strain PAC93C IPC122_28.1, whole genome shotgun sequence"
"RWTC01000015.1 Pseudomonas aeruginosa strain PAC9A IPC123_15.1, whole genome shotgun sequence"
"RWTE01000030.1 Pseudomonas aeruginosa strain PAC93B IPC121_30.1, whole genome shotgun sequence"
"RWTF01000025.1 Pseudomonas aeruginosa strain PAC93A IPC120_25.1, whole genome shotgun sequence"
"RWTG01000026.1 Pseudomonas aeruginosa strain PAC74A IPC119_26.1, whole genome shotgun sequence"
"RWTI01000022.1 Pseudomonas aeruginosa strain PAC6B IPC117_22.1, whole genome shotgun sequence"
"RWTJ01000025.1 Pseudomonas aeruginosa strain PAC6A IPC116_25.1, whole genome shotgun sequence"
"RWTH01000023.1 Pseudomonas aeruginosa strain PAC39A IPC118_23.1, whole genome shotgun sequence"
"RWTO01000022.1 Pseudomonas aeruginosa strain PAC54A IPC111_22.1, whole genome shotgun sequence"
"RWTN01000020.1 Pseudomonas aeruginosa strain PAC5A IPC112_20.1, whole genome shotgun sequence"
"RWTU01000036.1 Pseudomonas aeruginosa strain 320S290711BSL_PA1 IPC73_36.1, whole genome shotgun sequence"
"RWTV01000023.1 Pseudomonas aeruginosa strain 318S170811BSL_PA2 IPC72_23.1, whole genome shotgun sequence"
"RWTT01000036.1 Pseudomonas aeruginosa strain 320S290711BSL_PA2 IPC74_36.1, whole genome shotgun sequence"
"RWTW01000031.1 Pseudomonas aeruginosa strain 318S170811BSL_PA1 IPC71_31.1, whole genome shotgun sequence"
"RWTX01000021.1 Pseudomonas aeruginosa strain 313s141011BSL_PA1 IPC70_21.1, whole genome shotgun sequence"
"RWTY01000034.1 Pseudomonas aeruginosa strain 298S020611BSL_PA1 IPC68_34.1, whole genome shotgun sequence"
"RWTZ01000026.1 Pseudomonas aeruginosa strain 295s071211BSL_PA2 IPC67_26.1, whole genome shotgun sequence"
"RWUC01000019.1 Pseudomonas aeruginosa strain 293S080611BSL_PA1 IPC64_19.1, whole genome shotgun sequence"
"RWUB01000028.1 Pseudomonas aeruginosa strain 293S080611BSL_PA2 IPC65_28.1, whole genome shotgun sequence"
"RWUA01000031.1 Pseudomonas aeruginosa strain 295s071211BSL_PA1 IPC66_31.1, whole genome shotgun sequence"
"RWUE01000027.1 Pseudomonas aeruginosa strain 278S180511BSL_PA2 IPC60_27.1, whole genome shotgun sequence"
"RWUF01000019.1 Pseudomonas aeruginosa strain 278S180511BSL_PA1 IPC59_19.1, whole genome shotgun sequence"
"RWUI01000022.1 Pseudomonas aeruginosa strain 266S141211BSL_PA1 IPC56_22.1, whole genome shotgun sequence"
"RWUJ01000025.1 Pseudomonas aeruginosa strain 259S240811BSL_PA2 IPC55_25.1, whole genome shotgun sequence"
"RWUK01000020.1 Pseudomonas aeruginosa strain 259S240811BSL_PA1 IPC54_20.1, whole genome shotgun sequence"
"RWUL01000025.1 Pseudomonas aeruginosa strain 201s070911bsl_PA2 IPC51_25.1, whole genome shotgun sequence"
"RWUM01000036.1 Pseudomonas aeruginosa strain 201s070911bsl_PA1 IPC50_36.1, whole genome shotgun sequence"
"RWUN01000026.1 Pseudomonas aeruginosa strain 197S020911BSL_PA4 IPC49_26.1, whole genome shotgun sequence"
"RWUP01000023.1 Pseudomonas aeruginosa strain 197S020911BSL_PA2 IPC47_23.1, whole genome shotgun sequence"
"RWUR01000028.1 Pseudomonas aeruginosa strain 192S190811BSL_PA3 IPC45_28.1, whole genome shotgun sequence"
"RWUS01000028.1 Pseudomonas aeruginosa strain 192S190811BSL_PA2 IPC44_28.1, whole genome shotgun sequence"
"RWUQ01000023.1 Pseudomonas aeruginosa strain 197S020911BSL_PA1 IPC46_23.1, whole genome shotgun sequence"
"RWUO01000034.1 Pseudomonas aeruginosa strain 197S020911BSL_PA3 IPC48_34.1, whole genome shotgun sequence"
"RWUV01000027.1 Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA1 IPC41_27.1, whole genome shotgun sequence"
"RWUT01000025.1 Pseudomonas aeruginosa strain 192S190811BSL_PA1 IPC43_25.1, whole genome shotgun sequence"
"RWUX01000023.1 Pseudomonas aeruginosa strain 144S190811BSL_PA2 IPC38_23.1, whole genome shotgun sequence"
"RWVA01000022.1 Pseudomonas aeruginosa strain 136S260811BSL_PA2 IPC35_22.1, whole genome shotgun sequence"
"RWVB01000023.1 Pseudomonas aeruginosa strain 136S260811BSL_PA1 IPC34_23.1, whole genome shotgun sequence"
"RWUZ01000024.1 Pseudomonas aeruginosa strain 136S260811BSL_PA3 IPC36_24.1, whole genome shotgun sequence"
"RWUY01000002.1 Pseudomonas aeruginosa strain 144S190811BSL_PA1 IPC37_2.1, whole genome shotgun sequence"
"RWVC01000022.1 Pseudomonas aeruginosa strain 128S180412BSL_PA2 IPC33_22.1, whole genome shotgun sequence"
"RWVD01000030.1 Pseudomonas aeruginosa strain 66S100212BSL _PA1 IPC32_30.1, whole genome shotgun sequence"
"RWVG01000027.1 Pseudomonas aeruginosa strain 37s051011BSL_PA1 IPC29_27.1, whole genome shotgun sequence"
"RWVE01000027.1 Pseudomonas aeruginosa strain 44s031011BSL_PA2 IPC31_27.1, whole genome shotgun sequence"
"RWVF01000039.1 Pseudomonas aeruginosa strain 44s031011BSL_PA1 IPC30_39.1, whole genome shotgun sequence"
"RWVI01000029.1 Pseudomonas aeruginosa strain 2S030611BSL_PA1 IPC26_29.1, whole genome shotgun sequence"
"RWVH01000034.1 Pseudomonas aeruginosa strain 29S030611BSL_PA1 IPC27_34.1, whole genome shotgun sequence"
"RWVK01000020.1 Pseudomonas aeruginosa strain 19SJO IPC575_19.1, whole genome shotgun sequence"
"RWVJ01000024.1 Pseudomonas aeruginosa strain 4094345290 IPC1482_23.1, whole genome shotgun sequence"
"RWRS01000018.1 Pseudomonas aeruginosa strain PAC31A IPC162_18.1, whole genome shotgun sequence"
"RWPJ01000016.1 Pseudomonas aeruginosa strain PA-CL534x IPC627_16.1, whole genome shotgun sequence"
"RWRY01000025.1 Pseudomonas aeruginosa strain PAC44B IPC155_25.1, whole genome shotgun sequence"
"RWRZ01000027.1 Pseudomonas aeruginosa strain PAC44A IPC154_27.1, whole genome shotgun sequence"
"RWUU01000042.1 Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA2 IPC42_42.1, whole genome shotgun sequence"
"RXFF01000016.1 Pseudomonas aeruginosa strain AUS258 IPC249_16.1, whole genome shotgun sequence"
"MVGV01000028.1 Pseudomonas aeruginosa strain ATCC BAA-2108 IPC1576_28.1, whole genome shotgun sequence"
"MCMF01000043.1 Pseudomonas aeruginosa strain D429(Q) isolate Mi162_2 IPC1266_43.1, whole genome shotgun sequence"
"MCMW01000017.1 Pseudomonas aeruginosa strain F69A isolate IST27N IPC85_17.1, whole genome shotgun sequence"
"MCMX01000021.1 Pseudomonas aeruginosa strain F69A isolate IST27 IPC84_21.1, whole genome shotgun sequence"
"MCMY01000017.1 Pseudomonas aeruginosa strain 55AA isolate PAK IPC83_17.1, whole genome shotgun sequence"
"NSNT01000028.1 Pseudomonas aeruginosa strain PA-W1 IPC1280_28.1, whole genome shotgun sequence"
"NSOR01000025.1 Pseudomonas aeruginosa strain S54485 IPC1180_25.1, whole genome shotgun sequence"
"NSPL01000042.1 Pseudomonas aeruginosa strain B9(T2436) IPC1133_42.1, whole genome shotgun sequence"
"NSPM01000038.1 Pseudomonas aeruginosa strain A3(H638) IPC1125_38.1, whole genome shotgun sequence"
"NSPY01000025.1 Pseudomonas aeruginosa strain LiP8 IPC1079_25.1, whole genome shotgun sequence"
"NSQC01000026.1 Pseudomonas aeruginosa strain LiP4 IPC1075_26.1, whole genome shotgun sequence"
