"NSSG01000028.1 Pseudomonas aeruginosa strain S1983 IPC908_28.1, whole genome shotgun sequence"
"RWRX01000012.1 Pseudomonas aeruginosa strain PAC44C IPC156_12.1, whole genome shotgun sequence"
"RWRW01000001.1 Pseudomonas aeruginosa strain PAC44D IPC157_1.1, whole genome shotgun sequence"
"RWSC01000017.1 Pseudomonas aeruginosa strain PAC84A IPC151_17.1, whole genome shotgun sequence"
"RWSA01000003.1 Pseudomonas aeruginosa strain PAC23A IPC153_3.1, whole genome shotgun sequence"
"RWSD01000016.1 Pseudomonas aeruginosa strain PAC22A IPC150_16.1, whole genome shotgun sequence"
"RWSP01000010.1 Pseudomonas aeruginosa strain PAC14B IPC137_10.1, whole genome shotgun sequence"
"RWSQ01000018.1 Pseudomonas aeruginosa strain PAC117B IPC135_18.1, whole genome shotgun sequence"
"RWSS01000020.1 Pseudomonas aeruginosa strain PAC13C IPC133_20.1, whole genome shotgun sequence"
"RWST01000022.1 Pseudomonas aeruginosa strain PAC13B IPC132_22.1, whole genome shotgun sequence"
"RWSR01000011.1 Pseudomonas aeruginosa strain PAC117A IPC134_11.1, whole genome shotgun sequence"
"RWSU01000021.1 Pseudomonas aeruginosa strain PAC13A IPC131_21.1, whole genome shotgun sequence"
"RWSZ01000004.1 Pseudomonas aeruginosa strain PAC107A IPC126_4.1, whole genome shotgun sequence"
"RWTB01000009.1 Pseudomonas aeruginosa strain PAC10A IPC124_9.1, whole genome shotgun sequence"
"RWTA01000005.1 Pseudomonas aeruginosa strain PAC10B IPC125_5.1, whole genome shotgun sequence"
"RWTC01000013.1 Pseudomonas aeruginosa strain PAC9A IPC123_13.1, whole genome shotgun sequence"
"RWTN01000011.1 Pseudomonas aeruginosa strain PAC5A IPC112_11.1, whole genome shotgun sequence"
"RWTV01000010.1 Pseudomonas aeruginosa strain 318S170811BSL_PA2 IPC72_10.1, whole genome shotgun sequence"
"RWTW01000021.1 Pseudomonas aeruginosa strain 318S170811BSL_PA1 IPC71_21.1, whole genome shotgun sequence"
"RWTY01000020.1 Pseudomonas aeruginosa strain 298S020611BSL_PA1 IPC68_20.1, whole genome shotgun sequence"
"RWTZ01000007.1 Pseudomonas aeruginosa strain 295s071211BSL_PA2 IPC67_7.1, whole genome shotgun sequence"
"RWUE01000009.1 Pseudomonas aeruginosa strain 278S180511BSL_PA2 IPC60_9.1, whole genome shotgun sequence"
"RWUF01000002.1 Pseudomonas aeruginosa strain 278S180511BSL_PA1 IPC59_2.1, whole genome shotgun sequence"
"RWUJ01000003.1 Pseudomonas aeruginosa strain 259S240811BSL_PA2 IPC55_3.1, whole genome shotgun sequence"
"RWUK01000003.1 Pseudomonas aeruginosa strain 259S240811BSL_PA1 IPC54_3.1, whole genome shotgun sequence"
"RWUW01000001.1 Pseudomonas aeruginosa strain 145S200511BSL_PA2 IPC40_1.1, whole genome shotgun sequence"
"RWVC01000003.1 Pseudomonas aeruginosa strain 128S180412BSL_PA2 IPC33_3.1, whole genome shotgun sequence"
"RWVI01000013.1 Pseudomonas aeruginosa strain 2S030611BSL_PA1 IPC26_13.1, whole genome shotgun sequence"
"RWPJ01000012.1 Pseudomonas aeruginosa strain PA-CL534x IPC627_12.1, whole genome shotgun sequence"
"RWRY01000003.1 Pseudomonas aeruginosa strain PAC44B IPC155_3.1, whole genome shotgun sequence"
"RWRZ01000013.1 Pseudomonas aeruginosa strain PAC44A IPC154_13.1, whole genome shotgun sequence"
"NSNB01000015.1 Pseudomonas aeruginosa strain PA-W39 IPC1298_15.1, whole genome shotgun sequence"
"RXBB01000013.1 Pseudomonas aeruginosa strain H2 IPC1375_13.1, whole genome shotgun sequence"
"MVGX01000011.1 Pseudomonas aeruginosa strain ATCC BAA-2110 IPC1578_11.1, whole genome shotgun sequence"
"MVHB01000011.1 Pseudomonas aeruginosa strain ATCC BAA-2114 IPC1582_11.1, whole genome shotgun sequence"
"MCMS01000010.1 Pseudomonas aeruginosa strain 3C1A isolate Jpn1563 IPC91_10.1, whole genome shotgun sequence"
"MCMU01000021.1 Pseudomonas aeruginosa strain 0C4A isolate 679 IPC87_21.1, whole genome shotgun sequence"
"NSMT01000015.1 Pseudomonas aeruginosa strain AL561 IPC1353_15.1, whole genome shotgun sequence"
"NSND01000016.1 Pseudomonas aeruginosa strain PA-W37 IPC1296_16.1, whole genome shotgun sequence"
"NSNF01000020.1 Pseudomonas aeruginosa strain PA-W33 IPC1294_20.1, whole genome shotgun sequence"
"NSNI01000011.1 Pseudomonas aeruginosa strain PA-W29 IPC1291_11.1, whole genome shotgun sequence"
"NSNO01000022.1 Pseudomonas aeruginosa strain PA-W14 IPC1285_22.1, whole genome shotgun sequence"
"NSNW01000012.1 Pseudomonas aeruginosa strain 36BR IPC1246_12.1, whole genome shotgun sequence"
"NSOB01000013.1 Pseudomonas aeruginosa strain 175BR IPC1241_13.1, whole genome shotgun sequence"
"NSNX01000012.1 Pseudomonas aeruginosa strain 21BR IPC1245_12.1, whole genome shotgun sequence"
"NSNY01000014.1 Pseudomonas aeruginosa strain 172BR IPC1244_14.1, whole genome shotgun sequence"
"NSNZ01000008.1 Pseudomonas aeruginosa strain 205BR IPC1243_8.1, whole genome shotgun sequence"
"NSOA01000014.1 Pseudomonas aeruginosa strain 211BR IPC1242_14.1, whole genome shotgun sequence"
"NSOH01000014.1 Pseudomonas aeruginosa strain JYH16 IPC1227_14.1, whole genome shotgun sequence"
"NSOK01000021.1 Pseudomonas aeruginosa strain JYH10 IPC1221_21.1, whole genome shotgun sequence"
"NSOW01000014.1 Pseudomonas aeruginosa E2 IPC1165_14.1, whole genome shotgun sequence"
"NSRB01000009.1 Pseudomonas aeruginosa strain DUN-008 IPC1008_9.1, whole genome shotgun sequence"
"NSRF01000016.1 Pseudomonas aeruginosa strain DUN-003B IPC995_16.1, whole genome shotgun sequence"
"NSRT01000020.1 Pseudomonas aeruginosa strain U435 IPC971_20.1, whole genome shotgun sequence"
"NSTB01000023.1 Pseudomonas aeruginosa strain W5Aug16 IPC830_23.1, whole genome shotgun sequence"
"NSTZ01000004.1 Pseudomonas aeruginosa strain CPHL6749 IPC731_4.1, whole genome shotgun sequence"
"NSUJ01000033.1 Pseudomonas aeruginosa strain 5BR2 IPC713_33.1, whole genome shotgun sequence"
"NSUT01000017.1 Pseudomonas aeruginosa strain A19 IPC694_17.1, whole genome shotgun sequence"
"NSVR01000011.1 Pseudomonas aeruginosa strain AMT0006-66 IPC547_11.1, whole genome shotgun sequence"
"NSVT01000012.1 Pseudomonas aeruginosa strain AMT0005-138 IPC543_12.1, whole genome shotgun sequence"
"NSVS01000012.1 Pseudomonas aeruginosa strain AMT0006-1 IPC544_12.1, whole genome shotgun sequence"
"NSWA01000012.1 Pseudomonas aeruginosa strain AUS305 IPC506_12.1, whole genome shotgun sequence"
"NSVY01000013.1 Pseudomonas aeruginosa strain AUS309 IPC508_13.1, whole genome shotgun sequence"
"NSVZ01000012.1 Pseudomonas aeruginosa strain AUS307 IPC507_12.1, whole genome shotgun sequence"
"NSWR01000007.1 Pseudomonas aeruginosa strain AUS631 IPC460_7.1, whole genome shotgun sequence"
"NSWX01000011.1 Pseudomonas aeruginosa strain AUS491 IPC440_11.1, whole genome shotgun sequence"
"NSXD01000011.1 Pseudomonas aeruginosa strain AUS165 IPC404_11.1, whole genome shotgun sequence"
"NSXG01000023.1 Pseudomonas aeruginosa strain AUS150 IPC390_23.1, whole genome shotgun sequence"
"NSXI01000020.1 Pseudomonas aeruginosa strain AUS148 IPC388_20.1, whole genome shotgun sequence"
"NSXM01000011.1 Pseudomonas aeruginosa strain AUS120 IPC365_11.1, whole genome shotgun sequence"
"NSXL01000015.1 Pseudomonas aeruginosa strain AUS124 IPC368_15.1, whole genome shotgun sequence"
"NSXQ01000013.1 Pseudomonas aeruginosa strain AUS105 IPC354_13.1, whole genome shotgun sequence"
"NSYJ01000011.1 Pseudomonas aeruginosa strain AUS504 IPC297_11.1, whole genome shotgun sequence"
"NSYL01000011.1 Pseudomonas aeruginosa strain AUS306 IPC294_11.1, whole genome shotgun sequence"
"NSYM01000011.1 Pseudomonas aeruginosa strain AUS339 IPC292_11.1, whole genome shotgun sequence"
"NSYT01000022.1 Pseudomonas aeruginosa strain AUS407 IPC276_22.1, whole genome shotgun sequence"
"NSYQ01000001.1 Pseudomonas aeruginosa strain AUS460 IPC280_1.1, whole genome shotgun sequence"
"NSYX01000012.1 Pseudomonas aeruginosa strain AUS462 IPC266_12.1, whole genome shotgun sequence"
"NSYZ01000012.1 Pseudomonas aeruginosa strain AUS275 IPC260_12.1, whole genome shotgun sequence"
"NSZZ01000011.1 Pseudomonas aeruginosa strain 994 IPC101_11.1, whole genome shotgun sequence"
"NSZY01000020.1 Pseudomonas aeruginosa strain 886-1 IPC102_20.1, whole genome shotgun sequence"
"NTAA01000012.1 Pseudomonas aeruginosa strain 1090 IPC100_12.1, whole genome shotgun sequence"
"NTAY01000012.1 Pseudomonas aeruginosa strain PA-W11 IPC6_12.1, whole genome shotgun sequence"
"NTBC01000013.1 Pseudomonas aeruginosa strain PA-W6 IPC2_13.1, whole genome shotgun sequence"
"RWZJ01000001.1 Pseudomonas aeruginosa strain 32CFBRPA IPC1622_1.1, whole genome shotgun sequence"
"RWZO01000009.1 Pseudomonas aeruginosa strain SMC1595 IPC1617_9.1, whole genome shotgun sequence"
"RXAG01000027.1 Pseudomonas aeruginosa strain HCF367 IPC1415_27.1, whole genome shotgun sequence"
"RXAB01000013.1 Pseudomonas aeruginosa strain BJ4 IPC1423_13.1, whole genome shotgun sequence"
"RXBA01000015.1 Pseudomonas aeruginosa strain SS1 IPC1376_15.1, whole genome shotgun sequence"
"RXBK01000011.1 Pseudomonas aeruginosa strain MCF922 IPC1362_11.1, whole genome shotgun sequence"
"RXCD01000013.1 Pseudomonas aeruginosa strain T3044 IPC1146_13.1, whole genome shotgun sequence"
"RXCK01000023.1 Pseudomonas aeruginosa strain U2816 IPC1115_23.1, whole genome shotgun sequence"
"RXCN01000009.1 Pseudomonas aeruginosa strain P2733 IPC1108_9.1, whole genome shotgun sequence"
"RXCO01000013.1 Pseudomonas aeruginosa strain T3979 IPC1106_13.1, whole genome shotgun sequence"
"RXCS01000006.1 Pseudomonas aeruginosa strain W15Dec4 IPC828_6.1, whole genome shotgun sequence"
"RXDG01000017.1 Pseudomonas aeruginosa strain AMT0047-125 IPC564_17.1, whole genome shotgun sequence"
"RXDM01000012.1 Pseudomonas aeruginosa strain AMT0006-65 IPC546_12.1, whole genome shotgun sequence"
"RXDO01000012.1 Pseudomonas aeruginosa strain AMT0005-137 IPC542_12.1, whole genome shotgun sequence"
"RXDN01000007.1 Pseudomonas aeruginosa strain AMT0006-64 IPC545_7.1, whole genome shotgun sequence"
"RXDP01000010.1 Pseudomonas aeruginosa strain AMT0005-136 IPC541_10.1, whole genome shotgun sequence"
"RXDQ01000011.1 Pseudomonas aeruginosa strain AMT0005-135 IPC540_11.1, whole genome shotgun sequence"
"RXEA01000009.1 Pseudomonas aeruginosa strain AUS510 IPC447_9.1, whole genome shotgun sequence"
"RXEY01000017.1 Pseudomonas aeruginosa strain AUS265 IPC325_17.1, whole genome shotgun sequence"
"RXFF01000006.1 Pseudomonas aeruginosa strain AUS258 IPC249_6.1, whole genome shotgun sequence"
"RXFC01000001.1 Pseudomonas aeruginosa strain AUS452 IPC270_1.1, whole genome shotgun sequence"
"RWLA01000014.1 Pseudomonas aeruginosa strain 20 IPC1603_14.1, whole genome shotgun sequence"
"RWLJ01000017.1 Pseudomonas aeruginosa strain 12 IPC1594_17.1, whole genome shotgun sequence"
"RWLP01000018.1 Pseudomonas aeruginosa strain 6 IPC1588_18.1, whole genome shotgun sequence"
"RWLU01000017.1 Pseudomonas aeruginosa strain 1 IPC1583_17.1, whole genome shotgun sequence"
"RWMA01000061.1 Pseudomonas aeruginosa strain 5054408345 IPC1518_61.1, whole genome shotgun sequence"
"RWNZ01000022.1 Pseudomonas aeruginosa strain 6089 IPC1336_22.1, whole genome shotgun sequence"
"RWOW01000011.1 Pseudomonas aeruginosa strain 5990.3 IPC1313_11.1, whole genome shotgun sequence"
"RWPB01000012.1 Pseudomonas aeruginosa strain 5988.2 IPC1308_12.1, whole genome shotgun sequence"
"RWPA01000009.1 Pseudomonas aeruginosa strain 5988.3 IPC1309_9.1, whole genome shotgun sequence"
"RWPC01000010.1 Pseudomonas aeruginosa strain 5987 IPC1307_10.1, whole genome shotgun sequence"
"RWQX01000013.1 Pseudomonas aeruginosa strain PAC95B IPC183_13.1, whole genome shotgun sequence"
"RWQY01000016.1 Pseudomonas aeruginosa strain PAC95A IPC182_16.1, whole genome shotgun sequence"
"RWSF01000011.1 Pseudomonas aeruginosa strain PAC78A IPC148_11.1, whole genome shotgun sequence"
"RWSG01000020.1 Pseudomonas aeruginosa strain PAC33B IPC147_20.1, whole genome shotgun sequence"
"RWSE01000017.1 Pseudomonas aeruginosa strain PAC78B IPC149_17.1, whole genome shotgun sequence"
"RWSH01000020.1 Pseudomonas aeruginosa strain PAC33A IPC146_20.1, whole genome shotgun sequence"
"RWSJ01000013.1 Pseudomonas aeruginosa strain PAC18A IPC144_13.1, whole genome shotgun sequence"
"RWSI01000023.1 Pseudomonas aeruginosa strain PAC18B IPC145_23.1, whole genome shotgun sequence"
"RWTO01000015.1 Pseudomonas aeruginosa strain PAC54A IPC111_15.1, whole genome shotgun sequence"
"RWUD01000010.1 Pseudomonas aeruginosa strain 286S270711BSL_PA1 IPC61_10.1, whole genome shotgun sequence"
"RWUL01000021.1 Pseudomonas aeruginosa strain 201s070911bsl_PA2 IPC51_21.1, whole genome shotgun sequence"
"RWUM01000016.1 Pseudomonas aeruginosa strain 201s070911bsl_PA1 IPC50_16.1, whole genome shotgun sequence"
"MVGW01000021.1 Pseudomonas aeruginosa strain ATCC BAA-2109 IPC1577_21.1, whole genome shotgun sequence"
"MVHA01000010.1 Pseudomonas aeruginosa strain ATCC BAA-2113 IPC1581_10.1, whole genome shotgun sequence"
"NSMY01000013.1 Pseudomonas aeruginosa strain PA-W44 IPC1301_13.1, whole genome shotgun sequence"
"NSOF01000020.1 Pseudomonas aeruginosa strain JYH22 IPC1233_20.1, whole genome shotgun sequence"
"NSQC01000016.1 Pseudomonas aeruginosa strain LiP4 IPC1075_16.1, whole genome shotgun sequence"
"NSRU01000019.1 Pseudomonas aeruginosa strain U421 IPC965_19.1, whole genome shotgun sequence"
"NSRV01000012.1 Pseudomonas aeruginosa strain U413A IPC962_12.1, whole genome shotgun sequence"
"NSSC01000012.1 Pseudomonas aeruginosa strain U0288B IPC927_12.1, whole genome shotgun sequence"
"NSSM01000011.1 Pseudomonas aeruginosa strain JD303 IPC887_11.1, whole genome shotgun sequence"
"NSTE01000016.1 Pseudomonas aeruginosa strain LiA63_2006 IPC790_16.1, whole genome shotgun sequence"
"NSTQ01000018.1 Pseudomonas aeruginosa strain Jp54 IPC747_18.1, whole genome shotgun sequence"
"NSTP01000005.1 Pseudomonas aeruginosa strain Jp97 IPC749_5.1, whole genome shotgun sequence"
"NSUD01000015.1 Pseudomonas aeruginosa strain CPHL950 IPC727_15.1, whole genome shotgun sequence"
"NSUN01000015.1 Pseudomonas aeruginosa strain 59.20 IPC703_15.1, whole genome shotgun sequence"
"NSVL01000009.1 Pseudomonas aeruginosa strain AMT0046-109 IPC563_9.1, whole genome shotgun sequence"
"NSWU01000021.1 Pseudomonas aeruginosa strain AUS507 IPC446_21.1, whole genome shotgun sequence"
"RWZS01000012.1 Pseudomonas aeruginosa strain Zw75_2 IPC1438_12.1, whole genome shotgun sequence"
"RXBH01000010.1 Pseudomonas aeruginosa strain MCF149 IPC1365_10.1, whole genome shotgun sequence"
"RXBJ01000011.1 Pseudomonas aeruginosa strain MCF1018 IPC1363_11.1, whole genome shotgun sequence"
"RXBQ01000030.1 Pseudomonas aeruginosa strain JYH23 IPC1234_30.1, whole genome shotgun sequence"
"RXCT01000021.1 Pseudomonas aeruginosa strain W15Dec14 IPC826_21.1, whole genome shotgun sequence"
"RXDD01000004.1 Pseudomonas aeruginosa strain Jp100 IPC750_4.1, whole genome shotgun sequence"
"RXDE01000012.1 Pseudomonas aeruginosa strain Jp60 IPC748_12.1, whole genome shotgun sequence"
"RXDI01000003.1 Pseudomonas aeruginosa strain AMT0046-107 IPC561_3.1, whole genome shotgun sequence"
"RXDH01000008.1 Pseudomonas aeruginosa strain AMT0046-108 IPC562_8.1, whole genome shotgun sequence"
"RXEJ01000004.1 Pseudomonas aeruginosa strain AUS174 IPC411_4.1, whole genome shotgun sequence"
"RXEU01000013.1 Pseudomonas aeruginosa strain AUS125 IPC369_13.1, whole genome shotgun sequence"
"RWLZ01000001.1 Pseudomonas aeruginosa strain 4084334344 IPC1519_1.1, whole genome shotgun sequence"
"RWMC01000008.1 Pseudomonas aeruginosa strain 5024383182 IPC1516_8.1, whole genome shotgun sequence"
"RWMD01000010.1 Pseudomonas aeruginosa strain 5014375428 IPC1515_10.1, whole genome shotgun sequence"
"RWNN01000009.1 Pseudomonas aeruginosa strain 6102 IPC1349_9.1, whole genome shotgun sequence"
"RWNX01000023.1 Pseudomonas aeruginosa strain 6091 IPC1338_23.1, whole genome shotgun sequence"
"RWOZ01000013.1 Pseudomonas aeruginosa strain 5989 IPC1310_13.1, whole genome shotgun sequence"
"RWVH01000010.1 Pseudomonas aeruginosa strain 29S030611BSL_PA1 IPC27_10.1, whole genome shotgun sequence"
"NSZQ01000011.1 Pseudomonas aeruginosa strain AUS127 IPC197_11.1, whole genome shotgun sequence"
"NSTS01000019.1 Pseudomonas aeruginosa strain J9UH1F IPC742_19.1, whole genome shotgun sequence"
"MCMG01000001.1 Pseudomonas aeruginosa strain EC2A isolate CHA IPC1262_1.1, whole genome shotgun sequence"
"NSOE01000017.1 Pseudomonas aeruginosa strain JYH24 IPC1235_17.1, whole genome shotgun sequence"
"NSQT01000017.1 Pseudomonas aeruginosa strain DUN-024-1 IPC1034_17.1, whole genome shotgun sequence"
"NSTA01000014.1 Pseudomonas aeruginosa strain Br670 IPC838_14.1, whole genome shotgun sequence"
"NSTI01000001.1 Pseudomonas aeruginosa strain LiA161_2005 IPC782_1.1, whole genome shotgun sequence"
"NSWZ01000017.1 Pseudomonas aeruginosa strain AUS485 IPC436_17.1, whole genome shotgun sequence"
"NSXF01000015.1 Pseudomonas aeruginosa strain AUS151 IPC391_15.1, whole genome shotgun sequence"
"NSXN01000001.1 Pseudomonas aeruginosa strain AUS119 IPC364_1.1, whole genome shotgun sequence"
"NSXS01000015.1 Pseudomonas aeruginosa strain AUS093 IPC352_15.1, whole genome shotgun sequence"
"NSXY01000018.1 Pseudomonas aeruginosa strain AUS702 IPC339_18.1, whole genome shotgun sequence"
"NSXX01000010.1 Pseudomonas aeruginosa strain AUS054 IPC340_10.1, whole genome shotgun sequence"
"NSZC01000014.1 Pseudomonas aeruginosa strain AUS225 IPC251_14.1, whole genome shotgun sequence"
"RXAA01000017.1 Pseudomonas aeruginosa strain OY3 IPC1427_17.1, whole genome shotgun sequence"
"RWZZ01000019.1 Pseudomonas aeruginosa strain BJ2 IPC1428_19.1, whole genome shotgun sequence"
"RXAF01000010.1 Pseudomonas aeruginosa strain HCF410 IPC1417_10.1, whole genome shotgun sequence"
"RXAN01000011.1 Pseudomonas aeruginosa strain HCF483 IPC1405_11.1, whole genome shotgun sequence"
"RXAW01000002.1 Pseudomonas aeruginosa strain Zw49 IPC1383_2.1, whole genome shotgun sequence"
"RXBS01000007.1 Pseudomonas aeruginosa strain JYH19 IPC1230_7.1, whole genome shotgun sequence"
"RXCF01000013.1 Pseudomonas aeruginosa strain T3354 IPC1135_13.1, whole genome shotgun sequence"
"RXCH01000013.1 Pseudomonas aeruginosa strain T3382 IPC1132_13.1, whole genome shotgun sequence"
"RXCJ01000011.1 Pseudomonas aeruginosa strain E2758 IPC1126_11.1, whole genome shotgun sequence"
"RXCI01000007.1 Pseudomonas aeruginosa strain T2584 IPC1130_7.1, whole genome shotgun sequence"
"RXES01000012.1 Pseudomonas aeruginosa strain AUS136 IPC377_12.1, whole genome shotgun sequence"
"RXEZ01000014.1 Pseudomonas aeruginosa strain AUS527 IPC324_14.1, whole genome shotgun sequence"
"RWML01000031.1 Pseudomonas aeruginosa strain 4114358565 IPC1507_31.1, whole genome shotgun sequence"
"RWMM01000041.1 Pseudomonas aeruginosa strain 5024382749-14 IPC1506_41.1, whole genome shotgun sequence"
"RWMN01000009.1 Pseudomonas aeruginosa strain 5024382749-13 IPC1505_9.1, whole genome shotgun sequence"
"RWMQ01000033.1 Pseudomonas aeruginosa strain 1042828174-20 IPC1502_33.1, whole genome shotgun sequence"
"RWNM01000012.1 Pseudomonas aeruginosa strain 4124363505 IPC1474_12.1, whole genome shotgun sequence"
"RWOD01000012.1 Pseudomonas aeruginosa strain 6086.1 IPC1332_12.1, whole genome shotgun sequence"
"RWUR01000019.1 Pseudomonas aeruginosa strain 192S190811BSL_PA3 IPC45_19.1, whole genome shotgun sequence"
"RWUS01000009.1 Pseudomonas aeruginosa strain 192S190811BSL_PA2 IPC44_9.1, whole genome shotgun sequence"
"RWUT01000012.1 Pseudomonas aeruginosa strain 192S190811BSL_PA1 IPC43_12.1, whole genome shotgun sequence"
"RWVE01000013.1 Pseudomonas aeruginosa strain 44s031011BSL_PA2 IPC31_13.1, whole genome shotgun sequence"
"RWVF01000014.1 Pseudomonas aeruginosa strain 44s031011BSL_PA1 IPC30_14.1, whole genome shotgun sequence"
"RWUX01000010.1 Pseudomonas aeruginosa strain 144S190811BSL_PA2 IPC38_10.1, whole genome shotgun sequence"
"RWUY01000014.1 Pseudomonas aeruginosa strain 144S190811BSL_PA1 IPC37_14.1, whole genome shotgun sequence"
"NSMW01000002.1 Pseudomonas aeruginosa strain PA-W46 IPC1303_2.1, whole genome shotgun sequence"
"RWZI01000027.1 Pseudomonas aeruginosa strain 33CFBRPA IPC1623_27.1, whole genome shotgun sequence"
"RXAU01000016.1 Pseudomonas aeruginosa strain PT6 IPC1385_16.1, whole genome shotgun sequence"
"RWRD01000019.1 Pseudomonas aeruginosa strain PAC76A IPC177_19.1, whole genome shotgun sequence"
"MCME01000028.1 Pseudomonas aeruginosa strain E429 isolate 15108-1 IPC1268_28.1, whole genome shotgun sequence"
"MCMJ01000021.1 Pseudomonas aeruginosa strain AF9A isolate AA2 IPC1259_21.1, whole genome shotgun sequence"
"NSNK01000029.1 Pseudomonas aeruginosa strain PA-W24 IPC1289_29.1, whole genome shotgun sequence"
"NSNU01000011.1 Pseudomonas aeruginosa strain AA44 IPC1276_11.1, whole genome shotgun sequence"
"NSNV01000019.1 Pseudomonas aeruginosa strain AA43 IPC1275_19.1, whole genome shotgun sequence"
"NSPN01000021.1 Pseudomonas aeruginosa strain B3(T2101) IPC1124_21.1, whole genome shotgun sequence"
"NSPP01000024.1 Pseudomonas aeruginosa strain C7(T3583) IPC1112_24.1, whole genome shotgun sequence"
"NSQL01000007.1 Pseudomonas aeruginosa strain G2 IPC1057_7.1, whole genome shotgun sequence"
"NSQZ01000030.1 Pseudomonas aeruginosa strain 010-4 IPC1015_30.1, whole genome shotgun sequence"
"NSTX01000028.1 Pseudomonas aeruginosa strain CPHL8203 IPC734_28.1, whole genome shotgun sequence"
"NTAI01000029.1 Pseudomonas aeruginosa strain PA-W47 IPC23_29.1, whole genome shotgun sequence"
"RWLH01000011.1 Pseudomonas aeruginosa strain 14.1 IPC1596_11.1, whole genome shotgun sequence"
"RWLG01000012.1 Pseudomonas aeruginosa strain 14.2 IPC1597_12.1, whole genome shotgun sequence"
"RWUG01000010.1 Pseudomonas aeruginosa strain 274S010611BSL_PA1 IPC58_10.1, whole genome shotgun sequence"
"NSUM01000006.1 Pseudomonas aeruginosa strain CN573=PSE143 IPC705_6.1, whole genome shotgun sequence"
"RXDZ01000007.1 Pseudomonas aeruginosa strain AUS511 IPC448_7.1, whole genome shotgun sequence"
"RWOA01000014.1 Pseudomonas aeruginosa strain 6088 IPC1335_14.1, whole genome shotgun sequence"
"RXED01000028.1 Pseudomonas aeruginosa strain AUS500 IPC443_28.1, whole genome shotgun sequence"
"RXFI01000008.1 Pseudomonas aeruginosa strain AUS221 IPC245_8.1, whole genome shotgun sequence"
"NSNR01000024.1 Pseudomonas aeruginosa strain PA-W4 IPC1282_24.1, whole genome shotgun sequence"
"NTAE01000013.1 Pseudomonas aeruginosa strain 903 IPC96_13.1, whole genome shotgun sequence"
"NTAR01000018.1 Pseudomonas aeruginosa strain PA-W20 IPC13_18.1, whole genome shotgun sequence"
"NTAU01000023.1 Pseudomonas aeruginosa strain PA-W17 IPC10_23.1, whole genome shotgun sequence"
"RXBV01000010.1 Pseudomonas aeruginosa strain JYH13 IPC1224_10.1, whole genome shotgun sequence"
"RXCE01000001.1 Pseudomonas aeruginosa strain T3677 IPC1136_1.1, whole genome shotgun sequence"
"RXCM01000016.1 Pseudomonas aeruginosa strain P2404 IPC1110_16.1, whole genome shotgun sequence"
"RXFB01000019.1 Pseudomonas aeruginosa strain AUS516 IPC287_19.1, whole genome shotgun sequence"
"RWUO01000021.1 Pseudomonas aeruginosa strain 197S020911BSL_PA3 IPC48_21.1, whole genome shotgun sequence"
"MCMA01000008.1 Pseudomonas aeruginosa strain F429 isolate A5803 IPC1272_8.1, whole genome shotgun sequence"
"MCMO01000005.1 Pseudomonas aeruginosa strain F462 isolate CPHL9433 IPC95_5.1, whole genome shotgun sequence"
"NSMP01000013.1 Pseudomonas aeruginosa strain G1-WATER-2A IPC1472_13.1, whole genome shotgun sequence"
"NSTC01000009.1 Pseudomonas aeruginosa strain LiA96_2004 IPC797_9.1, whole genome shotgun sequence"
"NSTD01000013.1 Pseudomonas aeruginosa strain LiA91_2004 IPC796_13.1, whole genome shotgun sequence"
"NSTL01000015.1 Pseudomonas aeruginosa strain LiA131_2005 IPC775_15.1, whole genome shotgun sequence"
"NSYC01000014.1 Pseudomonas aeruginosa strain AUS283 IPC323_14.1, whole genome shotgun sequence"
"NTAG01000014.1 Pseudomonas aeruginosa strain PA-W49 IPC25_14.1, whole genome shotgun sequence"
"RXDW01000025.1 Pseudomonas aeruginosa strain AUS449 IPC451_25.1, whole genome shotgun sequence"
"MCMF01000028.1 Pseudomonas aeruginosa strain D429(Q) isolate Mi162_2 IPC1266_28.1, whole genome shotgun sequence"
"NSOR01000012.1 Pseudomonas aeruginosa strain S54485 IPC1180_12.1, whole genome shotgun sequence"
"NSQH01000008.1 Pseudomonas aeruginosa strain LiP1d IPC1070_8.1, whole genome shotgun sequence"
"NSSL01000007.1 Pseudomonas aeruginosa strain PMM38 IPC888_7.1, whole genome shotgun sequence"
"NSSP01000010.1 Pseudomonas aeruginosa strain Tu863 IPC884_10.1, whole genome shotgun sequence"
"NSTT01000005.1 Pseudomonas aeruginosa strain Tu61 IPC740_5.1, whole genome shotgun sequence"
"NSUE01000013.1 Pseudomonas aeruginosa strain IDEXX_Canine8 IPC725_13.1, whole genome shotgun sequence"
"NSVQ01000023.1 Pseudomonas aeruginosa strain AMT0020-84 IPC549_23.1, whole genome shotgun sequence"
"NTAW01000004.1 Pseudomonas aeruginosa strain PA-W13 IPC8_4.1, whole genome shotgun sequence"
"RWZX01000016.1 Pseudomonas aeruginosa strain SC1 IPC1432_16.1, whole genome shotgun sequence"
"RWZY01000009.1 Pseudomonas aeruginosa strain FM4 IPC1429_9.1, whole genome shotgun sequence"
"RXBT01000007.1 Pseudomonas aeruginosa strain JYH17 IPC1228_7.1, whole genome shotgun sequence"
"RXCC01000001.1 Pseudomonas aeruginosa strain P1885 IPC1150_1.1, whole genome shotgun sequence"
"RXDL01000025.1 Pseudomonas aeruginosa strain AMT0020-83 IPC548_25.1, whole genome shotgun sequence"
